OBSID,Objname,RAdeg,DEdeg
721004240,J043920.94+254501.6,69.837255,25.7504447
721008110,J044104.71+245106.0,70.2696583,24.8516764
721010168,J043051.38+244222.3,67.7141119,24.7062033
721014058,J042951.55+260644.8,67.4648206,26.1124597
721014064,J043044.24+260124.7,67.6843374,26.0235362
721014234,J042704.69+260616.0,66.7695474,26.104456
721016189,J043114.43+271017.9,67.8101626,27.1716447
726203011,J063234.39+043319.3,98.14333,4.555378
726208037,J063828.77+044814.0,99.61991,4.8038955
726801150,J055742.67+271929.2,89.4278247,27.3247786
727401150,J055742.67+271929.2,89.4278247,27.3247786
728015232,J052451.80+352925.6,81.2158602,35.4904649
728601219,J052738.15+321232.7,81.9089614,32.2090941
728609040,J053143.30+352202.3,82.9304504,35.3673065
729105184,J052409.24+334757.8,81.0385227,33.7994144
729110162,J052151.92+334930.7,80.4663516,33.8251985
729501094,J044800.87+143957.4,72.003654,14.665955
729504034,J044653.06+165959.9,71.721095,16.999981
729505061,J044551.36+155536.3,71.464017,15.926773
729506178,J045656.55+160024.5,74.235645,16.00682
729506188,J045613.57+155421.4,74.056574,15.905972
729509028,J045230.75+173025.5,73.12813,17.507089
729509084,J045154.26+175827.5,72.976108,17.974309
735504162,J063215.84+045430.0,98.066025,4.908352
736310213,J060023.18+231103.7,90.0965943,23.1843785
737904096,J093248.07+265939.9,143.20032,26.994438
760914107,J041806.43+002152.3,64.526792,0.3645497
761103235,J063139.96+050555.6,97.916532,5.0987991
761203235,J063139.96+050555.6,97.916532,5.0987991
762501126,J052330.86+014548.7,80.878601,1.7635466
762501127,J052330.90+015118.6,80.878778,1.855169
762501243,J052001.62+011053.8,80.006758,1.1816251
762506030,J052930.90+031948.6,82.378776,3.3301842
762506032,J052929.49+031820.5,82.372914,3.3057064
762506055,J053018.08+032555.2,82.575341,3.4320251
762506071,J053147.37+032004.1,82.947407,3.3344744
762506162,J053101.15+024709.8,82.754792,2.7860556
762506184,J052948.39+025447.4,82.451654,2.9131724
762506198,J053012.71+030054.1,82.552974,3.0150298
762507025,J052545.92+014550.0,81.441338,1.7638971
762507029,J052444.98+015946.5,81.187455,1.996254
762507101,J052538.89+020129.9,81.412047,2.024985
762507130,J052907.63+021311.9,82.281823,2.2199779
762507159,J052439.94+012140.8,81.166423,1.3613459
762507162,J052510.50+013559.1,81.293778,1.5997623
762507163,J052528.05+013717.5,81.366914,1.6215298
762507211,J052653.03+013150.7,81.720964,1.5307765
762508080,J052636.75+032922.4,81.653143,3.4895592
762508194,J052441.48+023135.8,81.172861,2.5266179
762509232,J052754.86+033518.3,81.978594,3.5884321
762513130,J052908.51+040317.0,82.285466,4.0547495
762515078,J051939.06+044207.7,79.912788,4.7021534
762515158,J052007.25+050250.6,80.03021,5.0474113
762601019,J052203.07+010714.0,80.512814,1.1205665
762601025,J052312.40+012115.1,80.801701,1.3542027
762601095,J052205.04+014451.9,80.521022,1.747761
762601123,J052342.60+012556.7,80.927522,1.4324185
762601127,J052330.90+015118.6,80.878778,1.855169
762601134,J052219.86+020138.9,80.582786,2.0274969
762601178,J052426.64+011813.8,81.111032,1.3038503
762602040,J051604.47+021441.1,79.018635,2.2447531
762604232,J052411.19+033521.5,81.046662,3.589331
762606099,J052900.01+030419.8,82.250068,3.0721822
762607006,J052539.57+014253.6,81.414889,1.7149052
762607015,J052517.05+014822.2,81.321074,1.8061917
762607143,J053034.97+021854.8,82.645712,2.3152484
762607149,J053028.81+021733.7,82.620072,2.2927144
762607165,J052452.27+013843.9,81.217812,1.6455302
762607211,J052653.03+013150.7,81.720964,1.5307765
762608008,J052449.57+025028.3,81.20657,2.841212
762608193,J052346.41+022402.7,80.943396,2.4007528
762613090,J052932.23+033800.9,82.384313,3.6335902
762613133,J052923.31+041330.5,82.347149,4.2251623
762614205,J051406.40+041153.4,78.526706,4.1981691
762905235,J042413.90+055558.7,66.057948,5.9329988
763214231,J001004.29+590310.8,2.5178955,59.053017
763504210,J043829.53+154410.4,69.623072,15.73623
763513126,J044551.36+155536.3,71.464017,15.926773
763701129,J052054.90+010202.2,80.22875,1.0339602
763706004,J052528.05+013717.5,81.366914,1.6215298
763707100,J052646.10+010544.1,81.692095,1.095606
763707144,J052653.03+013150.7,81.720964,1.5307765
763708128,J052330.86+014548.7,80.878601,1.7635466
763713026,J052743.39+031308.1,81.930817,3.2189232
763713128,J052636.75+032922.4,81.653143,3.4895592
763904055,J034548.28+322411.8,56.45117,32.40329
763910194,J033449.88+311549.6,53.70784,31.26378
764201024,J064123.03+092726.7,100.345993,9.4574237
764201091,J064129.18+093935.9,100.3716208,9.6599841
764205026,J063859.64+103102.0,99.748523,10.517231
765605114,J062353.69+020453.3,95.97374,2.081492
765612111,J063010.30+042040.8,97.54294,4.344681
765614010,J061512.30+034744.1,93.80125,3.795586
765902166,J034226.28+225340.7,55.609528,22.8946562
765905198,J034608.36+232051.0,56.5348393,23.3475224
765905233,J034740.98+225547.8,56.9207811,22.9299689
765915105,J035202.22+243947.6,58.0092573,24.6632472
766501150,J055742.67+271929.2,89.4278247,27.3247786
766809093,J213743.48+432019.3,324.4312,43.33871
769608032,J064354.64+093730.1,100.9777081,9.6250527
770105198,J034608.36+232051.0,56.5348393,23.3475224
770105233,J034740.98+225547.8,56.9207811,22.9299689
770115105,J035202.22+243947.6,58.0092573,24.6632472
